Common Name,Species,Class,Sacral,D4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,28770.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,29561.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,42330.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,22813.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,15785.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,40585.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,21717.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,24717.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,4300.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,18006.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,17683.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,16685.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,23416.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,16532.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,4182.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,33941.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,4182.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,4190.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,23406.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,26172.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,37015.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,16783.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,4106.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,14045.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,36229.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,26241.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,34622.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,17109.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,18855.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,4122.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,36302.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,24193.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,17280.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,19815.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,14878.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,18522.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,16532.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,15989.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,18066.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,18235.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,24250.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,13232.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,15077.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,45289.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,14530.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,16204.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,22778.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,29792.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,22623.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,14085.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.0,594724.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,148100.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,28291.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,18723.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,23826.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,15.0,20575.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,17880.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,16774.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,11.0,15192.0,0,0,0,1,0
