Common Name,Species,Class,Sacral,D11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,18749.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,18999.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,34672.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,22942.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,96651.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,107004.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,6473.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,4563.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,6139.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,6147.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,4619.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,9345.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,4813.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,2939.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,9297.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,5240.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,5818.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,10181.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,6181.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,23868.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,4327.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,11334.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,4749.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,6042.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,1853.0,0,1,0,0,0
