Common Name,Species,Class,Sacral,D3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,18681.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,18601.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,24887.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,-24611.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,-14530.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,35087.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,56727.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,15252.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,20559.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,4229.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,12331.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,12345.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,-3196.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,20693.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,11450.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,5974.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,24763.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,12263.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,12242.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,41786.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,20043.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,36876.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,33954.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,36606.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,9867.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,4666.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,-17167.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,22273.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,22886.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,36690.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,12908.0,0,1,0,0,0
