Common Name,Species,Class,Sacral,D9,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,8800.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,8553.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,11803.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,8011.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,1682.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,10450.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,8453.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,2846.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,8050.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,-10798.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,2330.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,2339.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,2653.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,8051.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,2682.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,1746.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,9263.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,2445.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,1786.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,8291.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,2544.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,15347.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,-10749.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,12926.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,2926.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,2850.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,2657.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,8285.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,9046.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,8261.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,2387.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,2782.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,731.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,259.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,15642.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,7806.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,3464.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,3510.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,2893.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,8127.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,10549.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,8162.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,8018.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,8180.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,8073.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,2350.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,1652.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,2054.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,7879.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,1937.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,8584.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,9458.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,8266.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,2727.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.0,17513.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,18361.0,0,0,0,0,1
