Common Name,Species,Class,Sacral,D10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,11674.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,11784.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,15315.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,13914.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,2500.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,11849.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,11602.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,7580.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,19037.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,1826.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,6456.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,6461.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,-7782.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,11998.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,2465.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,-359.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,13787.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,448.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,-946.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,12604.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,6720.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,14105.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,607.0,0,1,0,0,0
